Model,Model_Key,Size_MB,Avg_Time_Seconds,BLEU_Score,chrF_Score,COMET_Score,METEOR_Score,Color
NLLB 600M (High Quality),nllb_600m,1208.635799407959,0.20335868049443254,9.535006837647638,29.86405143951573,0.6785398804529653,0.2238988821733995,#2ecc71
Marian OPUS (Base),marian_opus_ja_en,146.74213409423828,0.11107472445422072,9.91345277992914,28.93112597993178,0.6747647613983571,0.23264418716830904,#3498db
Marian OPUS (Fine-Tuned Small),marian_opus_ft_ja_en_100K_Data,2019.4087524414062,0.1304795958889209,14.508740886911626,33.50524842464367,0.7038093681288201,0.24788898492543163,#e74c3c
Marian OPUS (Fine-Tuned Large),marian_opus_ft_ja_en_full_dataset,290.3392562866211,0.10633265087759591,16.769624027499948,36.19230886007343,0.7184961927766965,0.27434269306695425,#e67e22
Marian OPUS (Legacy),marian_jap_en,132.65553092956543,0.3397497661956927,0.14207196838992536,12.255682048224912,0.38939153893691736,0.05688681925806919,#95a5a6
mT5 Base,mt5_base,1202.597617149353,0.18713662646165707,0.08630504407468839,6.153999443626226,0.3523252117258262,0.0040929455633303274,#1abc9c
