epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.7267,5.39618,10.6719,3.53377,0,0,0,0,6.68161,8.84819,4.23815,0.000652482,0.000652482,0.000652482
2,98.7298,2.67903,3.35948,1.95108,5e-05,0.0101,3e-05,1e-05,6.27368,4.68142,3.55516,0.00127562,0.00127562,0.00127562
3,137.749,1.99718,1.89994,1.50599,0.78729,0.81818,0.87125,0.48204,1.67148,1.3856,1.36459,0.00185475,0.00185475,0.00185475
4,163.287,1.61229,1.44605,1.3232,0.77973,0.83838,0.88273,0.49085,1.53487,1.95782,1.28893,0.001802,0.001802,0.001802
5,189.4,1.43623,1.1211,1.19534,0.91184,0.94032,0.97448,0.5473,1.43524,1.18624,1.18922,0.001736,0.001736,0.001736
6,211.378,1.35871,0.96402,1.1176,0.89574,0.86364,0.92974,0.55947,1.37537,1.02095,1.16299,0.00167,0.00167,0.00167
7,233.574,1.31052,0.91499,1.09625,0.98181,0.9596,0.98385,0.60296,1.24924,0.70743,1.07201,0.001604,0.001604,0.001604
8,255.526,1.24209,0.79726,1.054,0.98947,0.94914,0.98515,0.64888,1.21888,0.68664,1.07571,0.001538,0.001538,0.001538
9,278.102,1.23573,0.75166,1.03673,0.99805,0.9697,0.99082,0.6822,1.15285,0.63012,1.02648,0.001472,0.001472,0.001472
10,300.491,1.16337,0.70475,1.01729,0.95748,0.9596,0.98142,0.64287,1.22041,0.68553,1.06154,0.001406,0.001406,0.001406
11,323.341,1.17264,0.69914,1.01448,0.81092,0.64981,0.77206,0.40973,1.57704,1.41274,1.2168,0.00134,0.00134,0.00134
12,349.596,1.14013,0.66018,1.00606,0.99862,0.98485,0.99408,0.69186,1.08956,0.58016,0.99976,0.001274,0.001274,0.001274
13,372.427,1.11549,0.63984,0.99344,0.96434,0.95455,0.98346,0.66676,1.12687,0.6434,1.00932,0.001208,0.001208,0.001208
14,397.863,1.11894,0.63762,0.99262,0.99194,0.98485,0.99376,0.65695,1.23573,0.59033,1.06803,0.001142,0.001142,0.001142
15,424.166,1.07769,0.60967,0.97127,0.91851,0.9697,0.91555,0.62067,1.16416,0.61268,1.03047,0.001076,0.001076,0.001076
16,451.195,1.05422,0.58233,0.97128,0.98653,0.98485,0.99348,0.65926,1.22184,0.57604,1.0613,0.00101,0.00101,0.00101
17,481.436,1.04044,0.56366,0.95928,0.95111,0.98254,0.96102,0.67746,1.05536,0.52492,0.9801,0.000944,0.000944,0.000944
18,511.664,1.01343,0.55253,0.96232,1,0.98336,0.99408,0.68048,1.11957,0.53009,0.9983,0.000878,0.000878,0.000878
19,541.429,1.00152,0.55344,0.94883,0.96495,0.97329,0.96374,0.67105,1.1242,0.53633,0.98872,0.000812,0.000812,0.000812
20,570.126,0.99826,0.54324,0.94041,0.88514,0.97302,0.88463,0.62346,1.05921,0.57937,0.97511,0.000746,0.000746,0.000746
21,743.519,0.98812,0.53499,0.9739,0.84766,0.9798,0.84544,0.59815,1.04645,0.61391,0.9729,0.00068,0.00068,0.00068
22,773.291,0.98038,0.53164,0.96636,0.99491,0.98806,0.9942,0.70175,1.06953,0.50045,0.97853,0.000614,0.000614,0.000614
23,801.793,0.94804,0.50189,0.95685,0.99906,0.9899,0.9949,0.70562,1.05818,0.49036,0.97532,0.000548,0.000548,0.000548
24,830.916,0.94258,0.49375,0.95121,0.97487,0.97944,0.96911,0.67782,1.09926,0.49392,0.9904,0.000482,0.000482,0.000482
25,860.065,0.90836,0.47957,0.94101,0.99284,0.98485,0.99451,0.72744,1.02745,0.45635,0.961,0.000416,0.000416,0.000416
26,891.97,0.92201,0.47759,0.94663,0.99747,0.98485,0.9948,0.71957,1.02347,0.47663,0.96121,0.00035,0.00035,0.00035
27,921.345,0.91783,0.46503,0.95525,0.99901,0.98485,0.99466,0.72025,1.02035,0.44698,0.96116,0.000284,0.000284,0.000284
28,951.348,0.90314,0.451,0.93918,0.92664,0.98485,0.92344,0.66026,1.02805,0.47139,0.95771,0.000218,0.000218,0.000218
29,981.513,0.90628,0.44523,0.94847,0.62117,0.97475,0.62144,0.44917,1.01464,1.6665,0.95489,0.000152,0.000152,0.000152
30,1011.19,0.87205,0.43631,0.93534,0.74792,0.989,0.74419,0.53776,1.00519,0.96384,0.95296,8.6e-05,8.6e-05,8.6e-05
