epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.8766,1.8173,2.31768,1.38137,0.00747,0.93071,0.19539,0.07556,1.49579,2.87708,1.18453,0.000653333,0.000653333,0.000653333
2,49.8736,1.48087,1.39462,1.15041,0.77229,0.58431,0.6981,0.36273,1.48726,1.84169,1.17806,0.00127644,0.00127644,0.00127644
3,59.3285,1.47488,1.28202,1.14383,0.69666,0.62734,0.67807,0.34047,1.61013,1.60506,1.25883,0.00185555,0.00185555,0.00185555
4,67.1993,1.43481,1.223,1.15136,0.72637,0.66613,0.73158,0.42142,1.39417,1.2327,1.14511,0.001802,0.001802,0.001802
5,75.4597,1.38821,1.1584,1.12153,0.7408,0.68508,0.74647,0.42879,1.33672,1.21284,1.12908,0.001736,0.001736,0.001736
6,83.2915,1.39756,1.09425,1.12173,0.7883,0.79213,0.82187,0.49263,1.28376,1.02795,1.08714,0.00167,0.00167,0.00167
7,91.3421,1.36621,1.05959,1.10611,0.80526,0.79963,0.85679,0.52415,1.24301,0.93644,1.05808,0.001604,0.001604,0.001604
8,99.3147,1.3308,1.01367,1.09032,0.79677,0.78277,0.85256,0.5302,1.2184,0.95895,1.03735,0.001538,0.001538,0.001538
9,107.183,1.29327,0.99359,1.07388,0.76018,0.79401,0.85028,0.5338,1.18684,1.08207,1.0334,0.001472,0.001472,0.001472
10,116.245,1.3122,0.9722,1.08068,0.79811,0.84831,0.88344,0.5473,1.19437,0.86362,1.03809,0.001406,0.001406,0.001406
11,124.304,1.26666,0.92773,1.05829,0.86321,0.80524,0.88837,0.56607,1.15762,0.85096,1.01261,0.00134,0.00134,0.00134
12,132.488,1.26082,0.91677,1.0596,0.87364,0.82959,0.89139,0.56543,1.15734,0.85427,0.99468,0.001274,0.001274,0.001274
13,140.565,1.23606,0.88311,1.04245,0.8645,0.84082,0.91704,0.595,1.13928,0.81856,0.9765,0.001208,0.001208,0.001208
14,149.633,1.22691,0.89362,1.04737,0.88247,0.83146,0.92641,0.60941,1.06565,0.83143,0.98457,0.001142,0.001142,0.001142
15,157.838,1.21733,0.86642,1.04218,0.85777,0.83895,0.90551,0.59113,1.12722,0.7717,0.97476,0.001076,0.001076,0.001076
16,166.162,1.20048,0.84478,1.04683,0.86926,0.88015,0.93629,0.62479,1.09839,0.71715,0.96389,0.00101,0.00101,0.00101
17,174.403,1.20275,0.84753,1.0327,0.83664,0.8632,0.92604,0.62957,1.06823,0.7181,0.97855,0.000944,0.000944,0.000944
18,182.757,1.18509,0.81109,1.0243,0.86513,0.84457,0.91877,0.61716,1.0795,0.7726,0.97038,0.000878,0.000878,0.000878
19,191.117,1.14131,0.80134,1.01156,0.86798,0.88202,0.93224,0.62271,1.04488,0.72965,0.95319,0.000812,0.000812,0.000812
20,199.618,1.13994,0.7726,0.99954,0.88411,0.86704,0.92817,0.63117,1.05166,0.692,0.95127,0.000746,0.000746,0.000746
21,259.565,1.1046,0.78623,1.00594,0.86376,0.89044,0.93402,0.62954,1.08661,0.69035,0.96145,0.00068,0.00068,0.00068
22,271.017,1.10092,0.74106,0.99906,0.8743,0.90824,0.94914,0.64585,1.03618,0.7077,0.95646,0.000614,0.000614,0.000614
23,279.337,1.09339,0.72464,1.00277,0.91384,0.87079,0.9453,0.64205,1.01427,0.7092,0.95182,0.000548,0.000548,0.000548
24,287.705,1.07816,0.70708,0.98792,0.89792,0.88949,0.94666,0.67533,0.97276,0.63696,0.93336,0.000482,0.000482,0.000482
25,295.699,1.04638,0.68202,0.9765,0.91831,0.9052,0.96047,0.67456,1.00828,0.64403,0.93255,0.000416,0.000416,0.000416
26,303.759,1.04959,0.68348,0.97709,0.93369,0.92288,0.96614,0.6762,0.98115,0.62146,0.92757,0.00035,0.00035,0.00035
27,311.826,1.03441,0.64965,0.96323,0.91515,0.92909,0.96464,0.68584,0.95922,0.60429,0.92092,0.000284,0.000284,0.000284
28,319.814,0.98673,0.63428,0.95969,0.93776,0.91573,0.96689,0.69511,0.95397,0.59408,0.91606,0.000218,0.000218,0.000218
29,328.138,0.99286,0.61313,0.96376,0.9389,0.92081,0.96886,0.70171,0.93955,0.56804,0.91272,0.000152,0.000152,0.000152
30,336.709,0.97428,0.60619,0.9503,0.93436,0.92135,0.96817,0.71068,0.92277,0.56836,0.91156,8.6e-05,8.6e-05,8.6e-05
