frame_id,timestamp,fps,total_latency_ms,detection_time_ms,tracking_time_ms,queue_frame_depth,queue_ocr_depth,gpu_memory_gb,active_overlays
1,13.454526662826538,24.38166101832852,40.01426696777344,0.0,0.0,0,0,0.1838397979736328,0
2,13.552555561065674,10.201917159820884,10.004520416259766,0.0,0.0,1,0,0.1838397979736328,0
3,13.579561948776245,35.713225026395556,7.0056915283203125,0.0,0.0,0,0,0.1838397979736328,0
4,13.6025550365448,45.45389917204907,6.007671356201172,0.0,0.0,1,0,0.1838397979736328,0
5,13.621554613113403,50.01912848522432,4.999876022338867,0.0,0.0,1,0,0.1838397979736328,0
6,13.642559289932251,47.60844494892168,6.997346878051758,0.0,0.0,2,0,0.1838397979736328,0
7,13.66155481338501,52.64398227755952,4.999637603759766,0.0,0.0,2,0,0.1838397979736328,0
8,13.682554244995117,47.620336519902814,5.990505218505859,0.0,0.0,3,0,0.1838397979736328,0
9,13.702558755874634,49.988725344139205,5.995512008666992,0.0,0.0,3,0,0.18384265899658203,0
10,13.72255563735962,50.00779750336819,5.993127822875977,0.0,0.0,4,0,0.18384265899658203,0
11,13.743556499481201,47.61709277507833,5.994319915771484,0.0,0.0,4,0,0.18384313583374023,0
12,13.76358437538147,52.52992009618516,5.935430526733398,0.0,0.0,5,0,0.18384265899658203,0
13,13.781591892242432,52.635393921140476,5.001544952392578,0.0,0.0,5,0,0.18384265899658203,0
14,13.80258584022522,47.63277497018909,5.002021789550781,0.0,0.0,6,0,0.18384265899658203,0
15,13.823590993881226,47.6073641915053,6.006479263305664,0.0,0.0,6,0,0.21509504318237305,0
16,13.844592571258545,47.615471068375584,7.009267807006836,0.0,0.0,7,0,0.21509504318237305,0
17,13.865583658218384,47.639267176266145,6.000518798828125,0.0,0.0,7,0,0.21509504318237305,0
18,13.891591548919678,38.449869367924094,11.00468635559082,0.0,0.0,8,0,0.21509504318237305,0
19,13.930591344833374,26.30515277708093,10.001897811889648,0.0,0.0,8,0,0.21509504318237305,0
20,13.96658444404602,27.794334183757993,10.985612869262695,0.0,0.0,9,0,0.21509504318237305,0
21,13.993585586547852,37.0371050633135,8.996963500976562,0.0,0.0,9,0,0.21509408950805664,0
22,14.020598411560059,37.02435450412676,7.008552551269531,0.0,0.0,10,0,0.21509456634521484,0
23,14.040583848953247,47.643596296927356,5.993127822875977,0.0,0.0,10,0,0.21508216857910156,0
24,14.064587116241455,43.472849576600574,8.00180435180664,0.0,0.0,11,0,0.21536874771118164,0
25,14.09459662437439,32.24775304655365,6.012678146362305,0.0,0.0,11,0,0.21561813354492188,0
26,14.120589017868042,38.472793982755455,7.999897003173828,0.0,0.0,12,0,0.21614933013916016,0
27,14.142587184906006,47.62249926198424,5.002498626708984,0.0,0.0,12,0,0.21509695053100586,0
28,14.164587497711182,43.478257263991544,6.997585296630859,0.0,0.0,13,0,0.21526193618774414,0
29,14.186588287353516,45.45291402067665,6.999969482421875,0.0,0.0,13,0,0.21500015258789062,0
30,14.207590341567993,50.00600887023702,5.990266799926758,0.0,0.0,14,0,0.21498489379882812,0
31,14.236607551574707,34.48440750150046,13.990640640258789,0.0,0.0,14,0,0.2150259017944336,0
32,14.259584426879883,43.44808154470871,7.01451301574707,0.0,0.0,15,0,0.21549701690673828,0
33,14.280591249465942,45.47361117134307,7.008075714111328,0.0,0.0,15,0,0.21493816375732422,0
34,14.303584337234497,43.49133139776026,7.924318313598633,0.0,0.0,16,0,0.2149195671081543,0
35,14.326584577560425,43.477806571991295,7.992029190063477,0.0,0.0,16,0,0.2110748291015625,0
36,14.349584579467773,45.439126383983705,7.0056915283203125,0.0,0.0,17,0,0.21236419677734375,0
37,14.370620965957642,47.56309534609453,6.003379821777344,0.0,0.0,17,0,0.21236419677734375,0
38,14.395623207092285,39.987644198684336,7.001399993896484,0.0,0.0,18,0,0.21236419677734375,0
39,14.417618751525879,45.4593182680323,5.995273590087891,0.0,0.0,18,0,0.21236419677734375,0
40,14.440619945526123,43.49178237020293,7.002115249633789,0.0,0.0,19,0,0.21236419677734375,0
41,14.46263599395752,45.45981097719587,7.000207901000977,0.0,0.0,19,0,0.21236419677734375,0
42,14.485612392425537,41.666789187685644,6.993293762207031,0.0,0.0,20,0,0.21236419677734375,0
43,14.509613990783691,41.663891924108476,7.00068473815918,0.0,0.0,20,0,0.21236419677734375,0
44,14.533612489700317,41.66927287719682,7.892131805419922,0.0,0.0,21,0,0.21236419677734375,0
45,14.55861210823059,40.00061036087587,7.999420166015625,0.0,0.0,21,0,0.21236419677734375,0
46,14.582615375518799,41.66099506342064,6.928682327270508,0.0,0.0,22,0,0.21236419677734375,0
47,14.60661244392395,41.671756862823024,6.992101669311523,0.0,0.0,22,0,0.21236419677734375,0
48,14.629626750946045,43.45123227216691,7.012844085693359,0.0,0.0,23,0,0.21236419677734375,0
49,14.673622846603394,23.26317540959966,24.99556541442871,0.0,0.0,23,0,0.21236419677734375,0
50,14.698626518249512,38.44176412362063,6.995677947998047,0.0,0.0,24,0,0.21236419677734375,0
51,14.720611810684204,45.48495331460857,4.992961883544922,0.0,0.0,24,0,0.21236419677734375,0
52,14.745619058609009,39.988406681412556,6.990671157836914,0.0,0.0,25,0,0.21236419677734375,0
